EMPRESA,UNIDAD,REGION,PROVINCIA,DISTRITO
TASA,,Piura,Paita,Paita
TASA,,La Libertad,Ascope,Razuri
TASA,,Ancash,Santa,Nuevo Chimbote
TASA,,Ancash,Santa,Chimbote
TASA,,Ancash,Santa,Samanco
TASA,,Ica,Pisco,Paracas
TASA,,Ica,Pisco,San Andres
TASA,,Lima,Barranca,Supe
TASA,,Lima,Lima,Pucusana
TASA,,Lima,Huaura,Vegueta
TASA,,Arequipa,Caraveli,Atico
TASA,,Arequipa,Islay,Islay
TASA,,Moquegua,Ilo,Ilo
TASA,,Callao,Callao,Callao
MINSUR,,Lima,Oyon,Oyon
MINSUR,,Huanuco,Lauricocha,San Miguel de Cauri
MINSUR,,Tacna,Tacna,Palca
MINSUR,,Ica,Nazca,Marcona
MINSUR,,Ica,Pisco,Paracas
MINSUR,,Ica,Pisco,San Andres
MINSUR,,Puno,Carabaya,Ajoyani
MINSUR,,Puno,Melgar,Antauta
INTURSA,,Cusco,Cusco,Cusco
INTURSA,,Cusco,Urubamba,Urubamba
INTURSA,,Lima,Lima,San Isidro
INTURSA,,Ica,Pisco,Paracas
INTURSA,,La Libertad,Trujillo,Trujillo
QROMA,,Lima,Lima,El Agustino
CLINICA INTERNACIONAL,,Ancash,Huaraz,Huaraz
CLINICA INTERNACIONAL,,Piura,Piura,Piura
CLINICA INTERNACIONAL,,La Libertad,Trujillo,Trujillo
CLINICA INTERNACIONAL,,Lima,Lima,Santa Anita
CLINICA INTERNACIONAL,,Lima,Lima,San Borja
CLINICA INTERNACIONAL,,Lima,Lima,Santiago de Surco
CLINICA INTERNACIONAL,,Lima,Lima,Lima
CLINICA INTERNACIONAL,,Lima,Lima,San Isidro
CLINICA INTERNACIONAL,,Arequipa,Arequipa,Paucarpata
CLINICA INTERNACIONAL,,Callao,Callao,Callao
URBANOVA,,Lima,Lima,Brena
URBANOVA,,Lima,Lima,San Borja
URBANOVA,,Lima,Lima,San Isidro
AESA,U.M. SAN CRISTOBAL,Junin,Yauli,Yauli
AESA,U.M. CARAHUACRA,Junin,Yauli,Yauli
AESA,TUNEL DE INTEGRACION,Junin,Yauli,Yauli
AESA,U.M TICLIO,Lima,Huarochiri,Chicla
AESA,U.M TICLIO,Junin,Yauli,Morococha
AESA,U.M TICLIO,Junin,Yauli,La Oroya
AESA,U.M SAN RAFAEL,Puno,Melgar,Antauta
AESA,,Puno,Carabaya,Ajoyani
AESA,U.M RAURA,Lima,Oyon,Oyon
AESA,,Huanuco,Lauricocha,San Miguel de Cauri
AESA,,Pasco,Daniel Alcides Carrion,Paucar
