NIVEL_GOBIERNO_NOMBRE,PLIEGO_NOMBRE,DEPARTAMENTO_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,DISTRITO_EJECUTORA_NOMBRE,SECTOR_NOMBRE,FUNCION_NOMBRE,PRODUCTO_PROYECTO,PRODUCTO_PROYECTO_NOMBRE,MONTO_PIA,MONTO_PIM,MONTO_CERTIFICADO,MONTO_COMPROMETIDO,MONTO_DEVENGADO,MONTO_GIRADO
GOBIERNO NACIONAL,"CENTRO NACIONAL DE ESTIMACION, PREVENCION Y REDUCCION DEL RIESGO DE DESASTRES - CENEPRED",LIMA,LIMA,SAN ISIDRO,DEFENSA,ORDEN PUBLICO Y SEGURIDAD,3000001,ACCIONES COMUNES,8556325,8572770,8277579.890000001,5560586.78,5388909.7,5374926.71
GOBIERNO NACIONAL,"CENTRO NACIONAL DE ESTIMACION, PREVENCION Y REDUCCION DEL RIESGO DE DESASTRES - CENEPRED",LIMA,LIMA,SAN ISIDRO,DEFENSA,ORDEN PUBLICO Y SEGURIDAD,3000737,ESTUDIOS PARA LA ESTIMACION DEL RIESGO DE DESASTRES,436312,440429,406674.38,295988.15,254544.44,254544.44
GOBIERNO NACIONAL,"CENTRO NACIONAL DE ESTIMACION, PREVENCION Y REDUCCION DEL RIESGO DE DESASTRES - CENEPRED",LIMA,LIMA,SAN ISIDRO,DEFENSA,ORDEN PUBLICO Y SEGURIDAD,3000738,PERSONAS CON FORMACION Y CONOCIMIENTO EN GESTION DEL RIESGO DE DESASTRES Y ADAPTACION AL CAMBIO CLIMATICO,2226816,2338308,2168542.11,1291895.1,1210595.67,1210563.62
GOBIERNO NACIONAL,INSTITUTO DEL MAR DEL PERU - IMARPE,PROVINCIA CONSTITUCIONAL DEL CALLAO,PROV. CALLAO,CALLAO,PRODUCCION,PESCA,3000737,ESTUDIOS PARA LA ESTIMACION DEL RIESGO DE DESASTRES,1596660,1714712,1604226.46,1151230.36,1071463.36,1071463.36
GOBIERNO NACIONAL,INSTITUTO GEOFISICO DEL PERU,LIMA,LIMA,LA MOLINA,AMBIENTAL,AMBIENTE,2195475,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALERTA ANTE EL RIESGO VOLCANICO Y DEL OBSERVATORIO VULCANOLOGICO EN LA MACRO REGION SUR DEL PERU,44405,44405,5477.72,5477.72,5477.72,5477.72
GOBIERNO NACIONAL,INSTITUTO GEOFISICO DEL PERU,LIMA,LIMA,LA MOLINA,AMBIENTAL,AMBIENTE,3000737,ESTUDIOS PARA LA ESTIMACION DEL RIESGO DE DESASTRES,22463151,22749498,21443233.62,15726651.06,13509290.41,13298467.32
GOBIERNO NACIONAL,INSTITUTO GEOFISICO DEL PERU,LIMA,LIMA,LA MOLINA,AMBIENTAL,AMBIENTE,3000738,PERSONAS CON FORMACION Y CONOCIMIENTO EN GESTION DEL RIESGO DE DESASTRES Y ADAPTACION AL CAMBIO CLIMATICO,30020,30020,20599.0,2500.0,2500.0,2500.0
GOBIERNO NACIONAL,INSTITUTO GEOFISICO DEL PERU,LIMA,LIMA,LA MOLINA,AMBIENTAL,ORDEN PUBLICO Y SEGURIDAD,2234253,"MEJORAMIENTO DEL SERVICIO DE LABORATORIO NACIONAL DE INSTRUMENTACION GEOFISICA PARA LA GENERACION DE INFORMACION BASE EN GESTION DE RIESGOS DE DESASTRES CAUSADOS POR SISMOS, TSUNAMIS, FALLAS ACTIVAS Y GEODINAMICA DE SUPERFICIE, LA MOLINA, LIMA",6406884,6406884,6290995.46,5747993.07,4140279.1,3943988.15
GOBIERNO NACIONAL,INSTITUTO GEOLOGICO MINERO Y METALURGICO,LIMA,LIMA,SAN BORJA,ENERGIA Y MINAS,MINERIA,3000737,ESTUDIOS PARA LA ESTIMACION DEL RIESGO DE DESASTRES,5784777,6549188,5478339.22,4297344.72,3457133.29,3432094.55
GOBIERNO NACIONAL,INSTITUTO NACIONAL DE DEFENSA CIVIL,LIMA,LIMA,SAN ISIDRO,DEFENSA,ORDEN PUBLICO Y SEGURIDAD,2999999, ,8905018,15974242,15701133.03,15701133.03,15576119.299999999,15576119.299999999
